"No.","Time","Source","Destination","Protocol","Length","Info"
"53","4.805302","172.20.24.104","104.18.32.47","TCP","55","53466  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 165]"
"54","4.807280","104.18.32.47","172.20.24.104","TCP","66","443  >  53466 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"55","6.934269","172.20.24.104","142.250.196.163","TCP","55","55536  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 354]"
"56","6.935796","142.250.196.163","172.20.24.104","TCP","66","443  >  55536 [ACK] Seq=1 Ack=2 Win=244 Len=0 SLE=1 SRE=2"
"57","7.322940","Intel_f4:55:3d","Broadcast","ARP","42","Who has 172.20.24.249? Tell 172.20.24.104"
"58","7.661581","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"59","7.661653","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"60","7.703932","172.20.24.104","172.217.138.71","TLSv1.2","2145","Application Data"
"61","7.704092","172.20.24.104","172.217.138.71","TLSv1.2","2069","Application Data"
"62","7.706783","172.217.138.71","172.20.24.104","TCP","60","443  >  54989 [ACK] Seq=23257 Ack=6198 Win=978 Len=0"
"63","7.708173","172.217.138.71","172.20.24.104","TCP","60","443  >  54989 [ACK] Seq=23257 Ack=8213 Win=978 Len=0"
"64","7.711923","172.217.138.71","172.20.24.104","TLSv1.2","1029","Application Data"
"65","7.714652","172.217.138.71","172.20.24.104","TLSv1.2","1436","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"66","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=25614 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"67","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=26996 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"68","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=28378 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"69","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=29760 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"70","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=31142 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"71","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=32524 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"72","7.714652","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=33906 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"73","7.714799","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=35288 Win=1023 Len=0"
"74","7.716144","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=35288 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"75","7.716204","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=36670 Win=1023 Len=0"
"76","7.717831","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=36670 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"77","7.717831","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=38052 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"78","7.717879","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=39434 Win=1023 Len=0"
"79","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=39434 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 80]"
"80","7.723091","172.217.138.71","172.20.24.104","TLSv1.2","1436","Application Data"
"81","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=42198 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"82","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=43580 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"83","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=44962 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"84","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=46344 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"85","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=47726 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"86","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=49108 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"87","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=50490 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"88","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=51872 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"89","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=53254 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"90","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=54636 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"91","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=56018 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 92]"
"92","7.723091","172.217.138.71","172.20.24.104","TLSv1.2","1436","Application Data"
"93","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=58782 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 101]"
"94","7.723091","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=60164 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 101]"
"95","7.723199","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=61546 Win=1023 Len=0"
"96","7.725395","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=61546 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 101]"
"97","7.725395","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=62928 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 101]"
"98","7.725395","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=64310 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 101]"
"99","7.725395","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=65692 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 101]"
"100","7.725456","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=67074 Win=1023 Len=0"
"101","7.729134","172.217.138.71","172.20.24.104","TLSv1.2","22166","Application Data"
"102","7.729134","172.217.138.71","172.20.24.104","TLSv1.2","1384","Application Data"
"103","7.729134","172.217.138.71","172.20.24.104","TLSv1.2","20784","Application Data"
"104","7.729294","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=111246 Win=1023 Len=0"
"105","7.729486","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=111246 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 108]"
"106","7.730616","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=112628 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 108]"
"107","7.730669","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=114010 Win=1023 Len=0"
"108","7.734661","172.217.138.71","172.20.24.104","TLSv1.2","47042","Application Data, Application Data, Application Data"
"109","7.734739","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=160998 Win=1023 Len=0"
"110","7.735171","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=160998 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 113]"
"111","7.736649","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=162380 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 113]"
"112","7.736703","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=163762 Win=1023 Len=0"
"113","7.740149","172.217.138.71","172.20.24.104","TLSv1.2","47042","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"114","7.740215","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=210750 Win=1023 Len=0"
"115","7.740759","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=210750 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 118]"
"116","7.742104","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=212132 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 118]"
"117","7.742138","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=213514 Win=1023 Len=0"
"118","7.745593","172.217.138.71","172.20.24.104","TLSv1.2","47042","Application Data, Application Data, Application Data"
"119","7.745665","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=260502 Win=1023 Len=0"
"120","7.746291","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=260502 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 123]"
"121","7.747611","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=261884 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 123]"
"122","7.747651","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=263266 Win=1023 Len=0"
"123","7.750878","172.217.138.71","172.20.24.104","TLSv1.2","47042","Application Data, Application Data, Application Data"
"124","7.750950","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=310254 Win=1023 Len=0"
"125","7.751498","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=310254 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 128]"
"126","7.752734","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=311636 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 128]"
"127","7.752797","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=313018 Win=1023 Len=0"
"128","7.755392","172.217.138.71","172.20.24.104","TLSv1.2","37368","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"129","7.755392","172.217.138.71","172.20.24.104","TCP","832","443  >  54989 [PSH, ACK] Seq=350332 Ack=8213 Win=978 Len=778 [TCP PDU reassembled in 132]"
"130","7.755464","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=351110 Win=1023 Len=0"
"131","7.757004","172.217.138.71","172.20.24.104","TCP","1436","443  >  54989 [ACK] Seq=351110 Ack=8213 Win=978 Len=1382 [TCP PDU reassembled in 132]"
"132","7.757650","172.217.138.71","172.20.24.104","TLSv1.2","670","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"133","7.757690","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=8213 Ack=353108 Win=1023 Len=0"
"134","7.854994","Intel_f4:55:3d","Broadcast","ARP","42","Who has 172.20.24.249? Tell 172.20.24.104"
"135","7.860030","Intel_99:ab:60","Intel_f4:55:3d","ARP","56","172.20.25.153 is at 84:5c:f3:99:ab:60"
"136","7.886262","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"137","7.886265","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"138","8.120531","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"139","8.120541","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"140","8.355132","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"141","8.355136","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"142","8.588622","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"143","8.588622","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"144","8.823639","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"145","8.823641","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"146","8.854922","Intel_f4:55:3d","Broadcast","ARP","42","Who has 172.20.24.249? Tell 172.20.24.104"
"147","8.858643","Intel_9c:37:9f","Intel_f4:55:3d","ARP","56","172.20.25.198 is at 00:91:9e:9c:37:9f"
"148","8.873934","Intel_99:ab:60","Intel_f4:55:3d","ARP","56","172.20.25.153 is at 84:5c:f3:99:ab:60"
"149","8.892770","172.20.24.104","172.217.138.71","TLSv1.2","2145","Application Data"
"150","8.892913","172.20.24.104","172.217.138.71","TLSv1.2","2069","Application Data"
"151","8.894410","172.217.138.71","172.20.24.104","TCP","60","443  >  54989 [ACK] Seq=353108 Ack=10304 Win=978 Len=0"
"152","8.894686","172.217.138.71","172.20.24.104","TCP","60","443  >  54989 [ACK] Seq=353108 Ack=12319 Win=978 Len=0"
"153","8.900064","172.217.138.71","172.20.24.104","TLSv1.2","1029","Application Data"
"154","8.915152","Intel_fd:8d:29","Intel_f4:55:3d","ARP","56","172.20.25.187 is at 0c:9a:3c:fd:8d:29"
"155","8.948855","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=12319 Ack=354083 Win=1020 Len=0"
"156","8.949030","Intel_2c:15:14","Intel_f4:55:3d","ARP","56","172.20.25.4 is at 3c:9c:0f:2c:15:14"
"157","8.950199","172.217.138.71","172.20.24.104","TLSv1.2","535","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"158","8.994739","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=12319 Ack=354564 Win=1023 Len=0"
"159","9.057039","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"160","9.057122","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"161","9.291674","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"162","9.291680","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"163","9.525464","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"164","9.525464","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"165","9.591412","172.20.24.104","104.18.32.47","TLSv1.2","233","Ignored Unknown Record"
"166","9.591562","172.20.24.104","104.18.32.47","TLSv1.2","93","Application Data"
"167","9.591614","172.20.24.104","104.18.32.47","TLSv1.2","4143","Application Data"
"168","9.591804","172.20.24.104","172.64.41.3","TLSv1.2","110","Application Data"
"169","9.591869","172.20.24.104","172.64.41.3","TLSv1.2","93","Application Data"
"170","9.591936","172.20.24.104","172.64.41.3","TLSv1.2","110","Application Data"
"171","9.591989","172.20.24.104","172.64.41.3","TLSv1.2","213","Application Data"
"172","9.592033","172.20.24.104","172.64.41.3","TLSv1.2","213","Application Data"
"173","9.593455","104.18.32.47","172.20.24.104","TCP","60","443  >  53466 [ACK] Seq=1 Ack=181 Win=31 Len=0"
"174","9.593805","104.18.32.47","172.20.24.104","TCP","60","443  >  53466 [ACK] Seq=1 Ack=220 Win=31 Len=0"
"175","9.593805","104.18.32.47","172.20.24.104","TCP","60","443  >  53466 [ACK] Seq=1 Ack=1602 Win=31 Len=0"
"176","9.593805","104.18.32.47","172.20.24.104","TCP","60","443  >  53466 [ACK] Seq=1 Ack=2984 Win=31 Len=0"
"177","9.593805","104.18.32.47","172.20.24.104","TCP","60","443  >  53466 [ACK] Seq=1 Ack=4309 Win=31 Len=0"
"178","9.594207","172.64.41.3","172.20.24.104","TCP","60","443  >  53200 [ACK] Seq=1 Ack=311 Win=26 Len=0"
"179","9.597120","172.64.41.3","172.20.24.104","TLSv1.2","89","Application Data"
"180","9.597362","104.18.32.47","172.20.24.104","TLSv1.2","93","Application Data"
"181","9.649128","172.20.24.104","172.64.41.3","TCP","54","53200  >  443 [ACK] Seq=470 Ack=36 Win=251 Len=0"
"182","9.649130","172.20.24.104","104.18.32.47","TCP","54","53466  >  443 [ACK] Seq=4309 Ack=40 Win=255 Len=0"
"183","9.650886","172.64.41.3","172.20.24.104","TLSv1.2","1226","Application Data, Application Data, Application Data, Application Data, Application Data"
"184","9.651945","172.20.24.104","172.64.41.3","TLSv1.2","89","Application Data"
"185","9.682861","104.18.32.47","172.20.24.104","TLSv1.2","993","Application Data, Application Data"
"186","9.684847","172.20.24.104","104.18.32.47","TLSv1.2","89","Application Data"
"187","9.686209","104.18.32.47","172.20.24.104","TLSv1.2","85","Application Data"
"188","9.696760","172.64.41.3","172.20.24.104","TCP","60","443  >  53200 [ACK] Seq=1208 Ack=505 Win=26 Len=0"
"189","9.726934","172.20.24.104","104.18.32.47","TCP","54","53466  >  443 [ACK] Seq=4344 Ack=1010 Win=251 Len=0"
"190","9.758036","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"191","9.758061","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"192","9.990916","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"193","9.990918","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"194","10.036976","172.20.24.104","142.250.206.3","TCP","55","53186  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 283]"
"195","10.038765","142.250.206.3","172.20.24.104","TCP","66","443  >  53186 [ACK] Seq=1 Ack=2 Win=438 Len=0 SLE=1 SRE=2"
"196","10.226721","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"197","10.226725","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"198","10.461253","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"199","10.461253","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"200","10.694886","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"201","10.694903","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"202","10.927105","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"203","10.927129","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"204","10.942231","172.20.24.104","148.113.20.112","TCP","55","[TCP Keep-Alive] 49710  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"205","10.944279","148.113.20.112","172.20.24.104","TCP","66","[TCP Keep-Alive ACK] 443  >  49710 [ACK] Seq=1 Ack=2 Win=491 Len=0 SLE=1 SRE=2"
"206","11.128390","172.20.24.104","74.125.130.188","TCP","55","50061  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"207","11.130181","74.125.130.188","172.20.24.104","TCP","66","5228  >  50061 [ACK] Seq=1 Ack=2 Win=250 Len=0 SLE=1 SRE=2"
"208","11.159177","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"209","11.159180","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"210","11.362887","172.20.24.104","74.125.200.188","TCP","55","50064  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"211","11.365076","74.125.200.188","172.20.24.104","TCP","66","5228  >  50064 [ACK] Seq=1 Ack=2 Win=250 Len=0 SLE=1 SRE=2"
"212","11.393522","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"213","11.393565","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"214","11.627022","172.20.24.104","172.20.31.255","UDP","82","58200  >  1947 Len=40"
"215","11.627034","172.20.24.104","255.255.255.255","UDP","82","58201  >  1947 Len=40"
"216","11.917813","104.18.26.48","172.20.24.104","TLSv1.2","81","Application Data"
"217","11.918951","172.20.24.104","104.18.26.48","TLSv1.2","85","Application Data"
"218","11.920294","104.18.26.48","172.20.24.104","TCP","60","443  >  50263 [ACK] Seq=28 Ack=32 Win=8 Len=0"
"219","12.538777","142.251.221.196","172.20.24.104","TCP","60","443  >  55837 [FIN, ACK] Seq=4077 Ack=1863 Win=64000 Len=0"
"220","12.538886","172.20.24.104","142.251.221.196","TCP","54","55837  >  443 [ACK] Seq=1863 Ack=4078 Win=65280 Len=0"
"221","14.094552","172.20.24.104","1.1.1.1","DNS","80","Standard query 0x0001 PTR 1.1.1.1.in-addr.arpa"
